"Site Title","Site Url","Percentage Used","Storage Used (MB)","Storage Quota (MB)"
"REVER - PROJETO SI - Fase 1","https://skylan.sharepoint.com/sites/REVER-PROJETOSI-Fase1","0","1","1048576"
"COMERCIAL SEMANAL","https://skylan.sharepoint.com/sites/COMERCIALSEMANAL","0","1","1048576"
"PowerSky - Zago","https://skylan.sharepoint.com/sites/PowerSky-Zago","0","1","1048576"
"OBJETIVOS 2020","https://skylan.sharepoint.com/sites/OBJETIVOS2020","0","21","1048576"
"Adequa??o Seguran?a Skylan]","https://skylan.sharepoint.com/sites/AdequaoSeguranaSkylan","0","1","1048576"
"PowerSky - REVER","https://skylan.sharepoint.com/sites/PowerSky-REVER","0","1","1048576"
"Projetos","https://skylan.sharepoint.com/sites/Projetos2","0","2","1048576"
"Skyweek","https://skylan.sharepoint.com/sites/Skyweek","0","13","1048576"
"Baseline","https://skylan.sharepoint.com/sites/Baseline","0","1","1048576"
"PCSI - Via Expressa","https://skylan.sharepoint.com/sites/PCSI-ViaExpressa403","0","1","1048576"
"PowerSky - Tr?s Editorial","https://skylan.sharepoint.com/sites/PowerSky-TrsEditorial","0","1","1048576"
"Comercial","https://skylan.sharepoint.com/sites/Comercial","0","4","1048576"
"Publico","https://skylan.sharepoint.com/portals/Clientes","0","1","1048576"
"Desenvolvimento do Site Skyshield","https://skylan.sharepoint.com/sites/DesenvolvimentodoSiteSkyshield","0","1","1048576"
"Monitoramento","https://skylan.sharepoint.com/sites/Monitoramento","0,14","1517","1048576"
"SkyProjetos","https://skylan.sharepoint.com/sites/SkyProjetos","0","1","1048576"
"Kyra - Office 365","https://skylan.sharepoint.com/sites/Kyra-Office365","0","1","1048576"
"Pimenta Print - Migra??o de Arquivos","https://skylan.sharepoint.com/sites/PimentaPrint-MigraodeArquivos","0","1","1048576"
"Teste","https://skylan.sharepoint.com/sites/Teste","0","1","1048576"
"Cursos","https://skylan.sharepoint.com/portals/Cursos","0","1","1048576"
"SkySystem","https://skylan.sharepoint.com/sites/SkySystem","0","1","1048576"
"Problemas SKYLAN","https://skylan.sharepoint.com/portals/Problemas-SKYLAN","0","1","1048576"
"PowerSky - Proese","https://skylan.sharepoint.com/sites/PowerSky-Proese","0","1","1048576"
"OBJETIVOS 2019","https://skylan.sharepoint.com/sites/OBJETIVOS2019_prh","0","3","1048576"
"SCOOP&CO - PROJETO SI","https://skylan.sharepoint.com/sites/SCOOPCO-PROJETOSI","0","1","1048576"
"SE 20to23","https://skylan.sharepoint.com/sites/SE20to23","0","1","1048576"
"Ambiente Tecnol?gico - Mudan?as","https://skylan.sharepoint.com/sites/AmbienteTecnolgico-Mudanas","0","1","1048576"
"PCSI - Liga","https://skylan.sharepoint.com/sites/PCSI-Liga","0","1","1048576"
"REDEX - PROJETO Adequa??o LGPD","https://skylan.sharepoint.com/sites/REDEX-PROJETOAdequaoLGPD","0","2","1048576"
